indonesia,ngoko,krama
(rumah) Kosong,Suwung,Suweng
Agama,Agama,Agami
Anak,Bocah,Lare
Ani-ani (Alat penuai padi),Ani-ani,Pugut
Api,Geni,Latu
Arti,Surasa,Suraos
Asal usul keturunan,Turunan,Tedhakan
Atau,Utawa,Utawi
Bagaimana,Kepriye,Kados pundi
Bagian / sisi belakang,Pungkur,Pengker
Bajak,Luku,Lujeng
Baju,Klambi,Rasukan
Bakar,Obong,Besmi
Bangsawan,Priyayi,Priyantun
Bangun,Gugah,Gigah
Barangkali,Ayake,Mbok menawi
Barat,Kulon,Kilen
Baru saja,entas,Nembe
Bau,Ambu,Ambet
Belakang,Buri,Wingking
Benar,Bener,Leres
Berbicara,Gunem,Ginem
Berjalan,Mlaku,Mlampah
Berjasa untuk,Labuh,Labet
Bersuara,Muni,Mungel
Bertelur,Ngendhog,Nigan
Besar,Gedhe,Ageng
Biar saja,Kareben,Kajengipun
Bohong,Guroh,Dora
Bukan,Dudu,Sanes
Buru,Buru,Bujeng
Buruh,Buruh,Berah
Burung puyuh,Gemak,Puyuh
Cari,Golek,Pados
Cepat,Age,Enggal
Cerita,Carita,Cariyos
Cuci,Kumbah,Girah
Dalam,Jero,Lebet
Dapat dilihat,Katon,Katingal
Datang,Mara,Dhateng
Daun,Godhong,Ron
Dengar,Rungu,Pireng
Diberi,Weneh,Dipunsukani
Didatangi,Ketekan,Kedhatengan
Dikelilingi,Kepung,Kepang
Dimandulkan,Kebiri,Dipunkebiri
Dingin,Adhem,Asrep
Dipikul,Pikul,Dipunrembat
Ditaruh,Seleh,Sukakaken
Diundang,Suruh,Dipunsedhahi
Dua puluh lima,Lawe,Selangkung
Dulu,Biyen,Riyin
Garam,Uyah,Sarem
Gula,Gula,Gendhis
Habis,entek,Telas
Hadap,Adhep,Ajeng
Halaman,Pakarangan,Pekawisan
Hanya,Bae,Kemawon
Hari,Dina,Dinten
Harus,Kudu,Kedah
Henti,endheg,Kendel
Hijau,Ijo,Ijem
Hingga,Kanti,Kantos
Ikan,Iwak,Ulam
Ikut,Anut,Tumut
Impi,Impi,Supena
Ingat,Eling,Emut
Ini,Iki,Niki
Istimewa,Kinacek,Kinaot
Itulah,Galo,Menika lo
Jaga,Jaga,Jagi
Jrang,Arang,Awis
Juga,Uga,Ugi
Kacamata,Kacamata,Kacamripat
Kain batik,Jarit,Sinjang
Kakek,embah,Simbah
Kambuh,Kumat,Kimat
Kapan,Kapan,Mbenjing menapa
Kartu,Kartu,Kertos
Kebanyakan,Kakehan,Kekathahen
Kebati,Kebatinan,Kebatosan
Kecukupan,Sedhengan,Cekapan
Kedua,Karo,Kalih
Kehabisan,Kentekan,Ketelasan
Kehendak,Kekarepane,Kekajenganipun
Kejadian,Kedadeyan,Kedadosan
Kekanak-kanakan,Kebocahen,Kelaren
Keluar,Metu,Medal
Kemalaman,Kawengen,Kedalon
Kemasukan,Klbon,Klebetan
Kemudian,Bacut,Lajeng
Kenal,Tepung,Tepang
Kencing,Uyuh,Toyan
Kepercayaan,Piandel,Kapitadosan
Keris,Keris,Dhuwung
Kesalahan,Kaluputan,Kalepatan
Khitan,Tetak,Supit
Kingang,Kinang,Ganten
Kira-kira,Udakara,Udakawis
Kuda,Jaran,Kapal
Lama,Suwe,Dangu
Lebih,Linuwih,Linangkung
Lima,Lima,Gangsal
Luar,Jaba,Jawi
Makanan,Pangan,Tedha
Maksud,Arah,Angkah
Malu,Wirang,Isin
Mana,endi,Pundi
Marah,Nesu,Srengen
