Bahasa Indonesia,Ngoko,Krama
Sabung,Adon,Aben
Merah,Abang,Abrit
Agama,Agama,Agami
Besar,Gedhe,Ageng
Serba banyak,Gedhen,Agengan
Tempat nasi,Ajang,Ajang
Hadap,Adhep,Ajeng
Suruh,Akon,Aken
Ampun,Aksama,Aksami
Kecil,Cilik,Alit
Karena,Amarga,Amargi
Bau,Ambu,Ambet
Pendek,Cendhek,Andhap
Babi hutan,Celeng,Andhapan
Menggembala,Angon,Angen
Pakai,Anggo,Angge
Maksud,Arah,Angkah
Mendapatkan,Oleh,Angsal
Antara,Antara,Antawis
Nilai,Aji,Aos
Maaf,Apura,Apunten
Makna,Arti,Artos
Dingin,Adhem,Asrep
Kelihatan,Ketok,asring
Jrang,Arang,Awis
Buruk,Ala,Awon
Berat,Abot,Awrat
Ayam,Pitik,Ayam
Badan,Awak,Badan
Akan,Bakal,Badhe
Perahu,Prau,Baita
Pokok,Baku,Baken
Tidak Menurut,Bangga,Banggi
Batu bata,Bata,Banon
Batin,Batin,Batos
Buang air besar,Bebuwang,Bebucal
Bawa,Gawa,Bekta
Banjir,Banjir,Bena
Benang,Bolah,Benang
Besuk,Besuk,Benjing
Beda,Beda,Benten
Panas,Panas,Benter
Minuman,Wedang,Benteran
Buruh,Buruh,Berah
Bakar,Obong,Besmi
Butuh,Butuh,Betah
Menanak nasi,Adang,Bethak
Selesai,Bubar,Bibar
Rusak,Bubrah,Bibrah
Pergi,Angkat,Bidhal
Buka,Bukak,Bikak
Jikalau,Yen,Bilih
Gembira,Bungah,Bingah
Tidak,Ora,Boten
Tidak mau,emoh,Boten purun
Buang,Buwang,Bucal
Buru,Buru,Bujeng
Cerita,Carita,Cariyos
Katanya,Jare,Cariyosipun
Disiapkan,Cawis,Cawisaken
Cukup,Cukup,Cekap
Kecukupan,Sedhengan,Cekapan
Dekat,Cedhak,Celak
Cat kain,Wedel,Celep
Hitam,Ireng,Cemeng
Dipegang,Cekel,Cepeng
Coba,Coba,Cobi
Kulit,Lulang,Cucal
Jadi,Dadi,Dados
Malam,Bengi,Dalu
Membuat,Gawe,Damel
Raksasa,Buta,Danawa
Berhias,Dandan,Dandos
Lama,Suwe,Dangu
Pelaksanaan tugas,Darma,Darmi
Puluh,Puluh,Dasa
Senjata tajam,Gaman,Dedamel
Taruh,Dokok,Dekek
Belum,Durung,Dereng
Datang,Mara,Dhateng
Sebar (benih),Sebar,Dhawah
Saudara,Dulur,Dherek
Desa,Desa,Dhusun
Keris,Keris,Dhuwung
Lampu,Diyan,Dilah
Hari,Dina,Dinten
Ditumbuk,Tutu,Dipungentang
Dicicip,Icip,Dipunincip
Dimandulkan,Kebiri,Dipunkebiri
Disakiti,Pilara,Dipunpisakiti
Dipikul,Pikul,Dipunrembat
Diundang,Suruh,Dipunsedhahi
Disuguh,Suguh,Dipunsegah
Diberi,Weneh,Dipunsukani
Kertas,Dluwang,Dlancang
Bohong,Guroh,Dora
Amal,Derma,Drema
Duga,Duga,Dugi
Tiba,Tekan,Dumugi
Bergerak,Obah,Ebah
Enak,Enak,Eca
Ilmu,Elmu,Elmi
Ingat,Eling,Emut
Muda,Anom,enem
Cepat,Age,Enggal
Tempat,enggon,enggen
Pagi,Esuk,Enjing
Tunggu,enteni,Entosi
Upah,Opah,Epah
Putri,Wadon,estri
Hitung,Etung,Etang
Gila,Edan,Ewah
Repot,Ewuh,ewed
Punya,Duwe,Gadhah
Mudah,Gampang,Gampil
Gamelan,Gamelan,Gangsa
Lima,Lima,Gangsal
Kingang,Kinang,Ganten
Ganti,Ganti,Gantos
Panting,Gati,Gatos
Pukul,Gebug,Gebag
Menurut,Gugu,Gega
Tikar,Klasa,Gelaran
Merawat dengan baik,Gemati,Gematos
Gula,Gula,Gendhis
Hidup,Urip,Gesang
Bangun,Gugah,Gigah
Gugat,Gugat,Gigat
Guna,Guna,Gina
Berbicara,Gunem,Ginem
Cuci,Kumbah,Girah
Pohon kelapa,Glugu,Glega
Dagang,Dagang,Gramen
Rumah,Omah,Griya
Tawa,Guyu,Gujeng
Hilang,Ilang,Ical
Hijau,Ijo,Ijem
peraman,Imbon,Imbetan
Piara,Ingu,Ingah
Naik,Munggah,Inggah
Tinggi,Dhuwur,Inggil
Yang,Sing,Ingkang
Malu,Wirang,Isin
Jaga,Jaga,Jagi
Laki-laki,Lanang,Jaler
Jala,Jala,Jambet
Jamu,Jamu,Jampi
Lengkap,Ganep,Jangkep
Jarum,Dom,Jarum
Artinya,Jarwa,Jarwi
Jati,Jati,Jatos
Hujan,Udan,Jawah
Luar,Jaba,Jawi
Emas,emas,Jene
Jeruk,Jeruk,Jeram
Jenazah,Mayit,Jisim
Kebakar,Kobong,Kabesmi
Kebutuhan,Kebutuhan,Kabetahan
Kacamata,Kacamata,Kacamripat
Seperti,Kaya,Kados
Bagaimana,Kepriye,Kados pundi
Wilayahnya orang jawa,Kajawan,Kajawen
Niat,Karep,Kajeng
Biar saja,Kareben,Kajengipun
Kaku,Kaku,Kaken
Pada waktu,Dhek,Kala
Kesalahan,Kaluputan,Kalepatan
Kedua,Karo,Kalih
Kebiasaan,Kalumrahan,Kalimrahan
Terlalu kecil,Keciliken,Kaliten
Dengan,Karo,Kaliyan
Itik,Bebek,Kambangan
Tercium baunya,Kambu,Kambet
Pimpinan desa,Kamitua,Kamisepuh
Sangat pendek,Kendheken,Kandhapan
Lapisan emas pada keris,Pendhok,Kandhelan
Diketahui,Kangerten,Kangertosan
Buat,Kanggo,Kangge
Tentu,Karuhan,Kantenan
Hingga,Kanti,Kantos
Penyabar,Kanten,Kantosan
